Incident energy,MT=1 : (n,total),MT=2 : (z,elastic),MT=102 : (z,?)
Incident energy,,,
Incident energy,?(E),?(E),?(E)
0.382,12.72332,12.05699,0.6663272
0.4139999,12.69616,12.05631,0.6398558
0.4143439,12.69589,12.0563,0.6395887
0.4153751,12.69507,12.05628,0.63879
0.4177814,12.69317,12.05623,0.6369387
0.4201876,12.69129,12.05618,0.6351045
0.425,12.68758,12.05609,0.6314863
0.44375,12.67374,12.05574,0.6179976
0.4625,12.6608,12.05541,0.6053931
0.5,12.63724,12.05481,0.5824312
0.625,12.57411,12.05321,0.5208981
0.75,12.52735,12.05197,0.4753817
0.875,12.4911,12.05095,0.440158
1.0,12.46181,12.05004,0.4117657
1.25,12.41662,12.04849,0.3681293
1.5,12.38306,12.04712,0.3359401
1.75,12.35684,12.04584,0.3109976
2.0,12.33551,12.04464,0.290868
2.375,12.30975,12.04291,0.2668346
2.75,12.28918,12.04124,0.2479308
3.125,12.2721,12.03961,0.2324858
3.5,12.25761,12.03801,0.2195967
4.25,12.234,12.03485,0.1991439
5.0,12.21523,12.03173,0.1834995
6.25,12.19057,12.0266,0.1639683
7.5,12.17105,12.02152,0.1495277
8.75,12.15477,12.01646,0.1383102
10.0,12.14067,12.01141,0.1292614
12.5,12.11675,12.00136,0.1153842
15.0,12.09648,11.99136,0.1051251
17.5,12.07854,11.98139,0.09714546
20.0,12.06215,11.97145,0.09070035
23.75,12.03959,11.95659,0.08299524
27.5,12.01871,11.9418,0.07691369
31.25,11.99899,11.92704,0.07194487
35.0,11.98014,11.91235,0.06778797
42.5,11.94429,11.88312,0.06116889
50.0,11.91018,11.8541,0.05607975
62.5,11.85587,11.80617,0.04969453
75.0,11.80374,11.75879,0.04494584
87.5,11.75318,11.71195,0.04123149
100.0,11.70386,11.66564,0.03821829
112.5,11.65554,11.61983,0.03570585
125.0,11.60811,11.57454,0.03356834
150.0,11.51555,11.48545,0.03009877
175.0,11.42566,11.39828,0.0273771
200.0,11.33814,11.31298,0.02516451
237.5,11.21089,11.18839,0.02250213
275.0,11.08805,11.06767,0.02038645
312.5,10.96929,10.95063,0.0186514
350.0,10.8543,10.8371,0.01719571
387.5,10.7429,10.72694,0.01595231
425.0,10.63486,10.61998,0.01487506
500.0,10.42821,10.41512,0.01309591
562.5,10.26491,10.25301,0.01189822
625.0,10.10905,10.09815,0.01089283
687.5,9.960094,9.950055,0.01003988
750.0,9.817573,9.80826,0.009313478
812.5,9.681063,9.672363,0.00870004
875.0,9.55019,9.541988,0.00820234
921.8747,9.456009,9.448065,0.007943936
968.7493,9.363821,9.356034,0.007786596
999.999,9.30431,9.296468,0.007842235
1002.336,9.299907,9.292054,0.007853424
1009.338,9.286791,9.278891,0.007900054
1025.677,9.256539,9.248441,0.008097969
1042.015,9.226637,9.21823,0.008406293
1058.354,9.197364,9.188374,0.008989356
1066.523,9.183013,9.173573,0.009440506
1074.692,9.168924,9.158862,0.01006221
1079.652,9.160542,9.149978,0.01056433
1084.612,9.152335,9.141136,0.01119841
1089.572,9.144344,9.132338,0.01200636
1094.532,9.136645,9.123591,0.01305415
1099.492,9.129347,9.114905,0.01444214
1104.452,9.122567,9.10629,0.01627741
1106.932,9.11949,9.102021,0.01746922
1109.412,9.116677,9.097784,0.01889303
1111.892,9.114194,9.093583,0.02061168
1114.372,9.11214,9.089428,0.02271158
1116.561,9.110787,9.08581,0.02497684
1118.749,9.109998,9.082251,0.02774639
1120.937,9.10995,9.078768,0.03118244
1123.125,9.11087,9.07538,0.0354895
1125.313,9.113095,9.072122,0.04097308
1126.407,9.114913,9.070562,0.04435084
1127.501,9.117309,9.069058,0.04825037
1128.595,9.120403,9.067622,0.05278113
1129.689,9.124357,9.06627,0.05808696
1130.783,9.129376,9.065021,0.06435552
1131.877,9.135736,9.063901,0.07183515
1132.899,9.143212,9.063004,0.08020875
1133.92,9.152559,9.062288,0.0902707
1134.941,9.164289,9.061802,0.1024865
1135.962,9.179178,9.061621,0.1175569
1136.983,9.198414,9.061859,0.1365544
1137.494,9.210162,9.062183,0.147979
1138.004,9.22364,9.062675,0.1609648
1138.515,9.239239,9.06337,0.1758684
1139.025,9.257324,9.064307,0.1930176
1139.536,9.278515,9.065541,0.2129733
1140.046,9.303427,9.067136,0.2362904
1140.594,9.33543,9.069356,0.2660744
1141.141,9.374261,9.072236,0.3020249
1141.688,9.422066,9.075983,0.346083
1142.235,9.481871,9.080889,0.4009813
1142.509,9.517671,9.083912,0.4337594
1142.782,9.55818,9.08739,0.4707892
1143.056,9.604641,9.091443,0.5131981
1143.329,9.657907,9.096156,0.561751
1143.603,9.719899,9.10171,0.6181882
1143.876,9.792159,9.10826,0.6838992
1144.15,9.877901,9.116112,0.7617887
1144.423,9.980186,9.125567,0.8546185
1144.733,10.12352,9.138935,0.9845858
1144.888,10.2094,9.146995,1.062403
1145.043,10.30743,9.156232,1.151198
1145.198,10.42041,9.166917,1.253492
1145.353,10.55203,9.179408,1.372623
1145.508,10.70723,9.194184,1.513043
1145.663,10.8926,9.211884,1.680716
1145.818,11.11699,9.233366,1.883625
1145.973,11.39218,9.259773,2.132404
1146.128,11.7337,9.292613,2.441086
1146.283,12.16179,9.333848,2.827943
1146.438,12.70233,9.385989,3.316339
1146.516,13.02681,9.417318,3.609494
1146.593,13.38768,9.452178,3.935498
1146.671,13.79949,9.49198,4.307512
1146.748,14.25725,9.536241,4.721013
1146.826,14.77894,9.586702,5.19224
1146.903,15.35756,9.64269,5.714873
1146.985,16.05078,9.709787,6.34099
1147.067,16.83166,9.785392,7.046265
1147.149,17.70883,9.870341,7.838486
1147.231,18.69099,9.96548,8.725515
1147.313,19.78676,10.07164,9.715119
1147.395,21.0044,10.18964,10.81477
1147.477,22.35161,10.32021,12.0314
1147.559,23.83519,10.46402,13.37118
1147.723,27.23254,10.7934,16.43915
1147.887,31.22135,11.1802,20.04114
1148.051,35.79152,11.62346,24.16806
1148.215,40.88822,12.11787,28.77036
1148.599,54.1743,13.40696,40.76733
1148.982,67.15783,14.66706,52.49077
1149.182,72.7041,15.20549,57.49862
1149.382,76.77762,15.60105,61.17657
1149.541,78.71479,15.78926,62.92552
1149.7,79.36925,15.853,63.51625
1149.832,78.90743,15.80835,63.09908
1149.963,77.56597,15.67832,61.88765
1150.095,75.38025,15.46632,59.91393
1150.226,72.47089,15.18406,57.28683
1150.512,64.13096,14.37473,49.75624
1150.798,54.24193,13.41483,40.8271
1151.071,44.65876,12.48444,32.17432
1151.343,35.9542,11.63916,24.31504
1151.479,32.11332,11.26612,20.8472
1151.615,28.66722,10.93137,17.73585
1151.751,25.62816,10.63611,14.99205
1151.887,22.9901,10.37976,12.61034
1152.004,21.02636,10.1889,10.83746
1152.121,19.32566,10.02356,9.302104
1152.238,17.86547,9.881568,7.983899
1152.354,16.63103,9.761491,6.869542
1152.471,15.57614,9.658841,5.9173
1152.588,14.6877,9.572349,5.115349
1152.705,13.94239,9.499753,4.442633
1152.821,13.32361,9.439445,3.884167
1152.938,12.80155,9.388526,3.413022
1153.055,12.36503,9.345914,3.019111
1153.172,11.99935,9.310183,2.689169
1153.288,11.69444,9.280355,2.414085
1153.405,11.43461,9.254904,2.179703
1153.521,11.21575,9.233435,1.982311
1153.638,11.02698,9.214889,1.812088
1153.754,10.8658,9.199025,1.666776
1153.91,10.68186,9.18088,1.500977
1154.066,10.52772,9.165631,1.362088
1154.222,10.39687,9.152647,1.244221
1154.377,10.28511,9.141521,1.14359
1154.584,10.15815,9.128831,1.029318
1154.896,10.003,9.113226,0.8897769
1155.207,9.879891,9.10074,0.7791505
1155.518,9.779615,9.090477,0.6891378
1155.829,9.696505,9.081886,0.614619
1156.141,9.626445,9.074564,0.551881
1156.452,9.56708,9.068286,0.4987947
1156.763,9.516105,9.062825,0.4532805
1157.074,9.471961,9.05803,0.4139313
1157.386,9.433329,9.053771,0.3795581
1157.697,9.39951,9.049983,0.3495277
1158.319,9.343067,9.043499,0.299568
1158.942,9.298007,9.038124,0.2598829
1159.564,9.261504,9.033587,0.2279177
1160.187,9.231358,9.029669,0.201689
1160.809,9.206163,9.026237,0.1799268
1161.484,9.183115,9.022932,0.160183
1162.158,9.163614,9.019976,0.1436382
1162.833,9.146897,9.017292,0.129605
1163.507,9.132473,9.014833,0.1176397
1164.182,9.11988,9.012553,0.1073267
1164.856,9.108826,9.010426,0.09839959
1165.531,9.099017,9.00842,0.09059774
1166.205,9.09028,9.00652,0.08375987
1167.554,9.075357,9.002972,0.07238509
1168.903,9.06308,8.999684,0.06339579
1170.252,9.05267,8.996582,0.0560885
1171.6,9.043693,8.993623,0.05006924
1173.157,9.034719,8.990346,0.04437352
1174.713,9.026904,8.987186,0.03971776
1176.27,9.019972,8.984114,0.03585781
1177.826,9.01374,8.981115,0.03262532
1179.383,9.008058,8.978171,0.02988736
1180.939,9.002825,8.975275,0.02755077
1182.495,8.997965,8.972417,0.02554785
1184.051,8.993437,8.969596,0.0238413
1187.164,8.984988,8.964017,0.02097079
1190.277,8.977244,8.958517,0.01872618
1193.39,8.97002,8.953078,0.01694292
1196.502,8.963188,8.947686,0.01550205
1199.823,8.956223,8.941975,0.01424794
1203.143,8.949519,8.936302,0.01321771
1206.463,8.943018,8.930658,0.01236009
1209.783,8.936684,8.925041,0.01164337
1214.556,8.927815,8.917008,0.01080763
1219.329,8.919125,8.90901,0.01011429
1224.102,8.91058,8.901045,0.009534803
1228.875,8.902177,8.893114,0.009062271
1238.421,8.88567,8.877344,0.008326517
1247.966,8.869497,8.861697,0.007800104
1257.512,8.853479,8.846117,0.007362132
1267.058,8.837682,8.830648,0.007034246
1286.149,8.806538,8.799993,0.006544755
1305.241,8.775856,8.769662,0.006193783
1324.332,8.745616,8.73969,0.005926802
1362.514,8.686089,8.680567,0.00552213
1399.999,8.629014,8.623776,0.005237906
1401.369,8.626945,8.621717,0.005228436
1406.154,8.619753,8.614556,0.005197028
1410.939,8.612582,8.607416,0.005166454
1429.348,8.585205,8.580149,0.005056553
1447.756,8.558084,8.55313,0.004954421
1484.572,8.504593,8.499823,0.004769769
1558.204,8.40111,8.396648,0.00446196
1705.469,8.204942,8.200978,0.003963797
1852.734,8.024289,8.020711,0.00357771
1999.999,7.851171,7.847936,0.00323489
2002.729,7.848087,7.844858,0.003229151
2010.912,7.838953,7.835741,0.003212485
2029.323,7.818548,7.815372,0.003175633
2047.734,7.798296,7.795156,0.003139467
2084.556,7.758244,7.755175,0.00306913
2158.199,7.680294,7.677356,0.002938005
2231.842,7.604632,7.601811,0.002820328
2305.485,7.530831,7.528089,0.002742233
2316.395,7.520164,7.517403,0.002761667
2323.044,7.513716,7.510916,0.002800379
2329.692,7.507349,7.504448,0.002901331
2333.017,7.504217,7.501218,0.002998727
2334.679,7.502683,7.499606,0.003077508
2336.341,7.501186,7.497994,0.003191937
2338.003,7.499752,7.496384,0.003367197
2338.834,7.499071,7.49558,0.003490714
2339.665,7.498426,7.494776,0.003650084
2340.496,7.497833,7.493971,0.003861189
2341.327,7.497319,7.493168,0.004151373
2342.158,7.496935,7.492364,0.004571203
2342.574,7.496822,7.491962,0.004859611
2342.989,7.49679,7.491561,0.005229175
2343.437,7.496897,7.491128,0.005768831
2343.661,7.497032,7.490912,0.006120221
2343.884,7.497243,7.490697,0.006546849
2344.108,7.497558,7.49048,0.007077643
2344.332,7.498009,7.490264,0.007744923
2344.556,7.498642,7.490048,0.00859411
2344.779,7.499512,7.489833,0.009679222
2345.003,7.500703,7.489617,0.01108597
2345.227,7.502306,7.489401,0.01290522
2345.339,7.503298,7.489293,0.01400472
2345.451,7.504438,7.489186,0.01525203
2345.563,7.505742,7.489078,0.01666451
2345.674,7.507217,7.488971,0.01824535
2345.786,7.508906,7.488864,0.02004201
2345.898,7.510817,7.488756,0.02206072
2346.01,7.51297,7.488649,0.02432128
2346.122,7.515384,7.488541,0.02684333
2346.234,7.51808,7.488434,0.02964578
2346.346,7.521073,7.488327,0.03274636
2346.569,7.527981,7.488113,0.03986815
2346.751,7.534607,7.48794,0.04666736
2346.932,7.5421,7.487767,0.05433304
2347.113,7.550481,7.487595,0.06288647
2347.294,7.559696,7.487423,0.07227268
2347.656,7.580165,7.48708,0.09308516
2348.018,7.60209,7.486737,0.1153532
2348.423,7.625689,7.486353,0.1393361
2348.626,7.636068,7.48616,0.1499077
2348.828,7.644828,7.485968,0.1588603
2349.094,7.653305,7.485714,0.1675911
2349.36,7.657663,7.485458,0.1722045
2349.5,7.658156,7.485324,0.1728325
2349.769,7.655553,7.485064,0.1704894
2350.037,7.648526,7.484804,0.1637223
2350.361,7.634961,7.484488,0.1504734
2350.685,7.617329,7.484171,0.1331583
2351.251,7.582311,7.483616,0.09869575
2351.534,7.565182,7.483338,0.08184329
2351.817,7.549474,7.483061,0.06641229
2351.979,7.541333,7.482903,0.05843006
2352.141,7.533887,7.482745,0.05114138
2352.303,7.527159,7.482587,0.04457118
2352.464,7.521184,7.482431,0.03875365
2352.626,7.51587,7.482273,0.03359647
2352.788,7.511218,7.482116,0.02910195
2352.95,7.507182,7.481959,0.02522252
2353.111,7.503725,7.481803,0.02192209
2353.273,7.500748,7.481646,0.01910118
2353.435,7.498212,7.48149,0.01672241
2353.597,7.496061,7.481333,0.01472778
2353.758,7.49425,7.481178,0.01307204
2353.92,7.492707,7.481022,0.01168473
2354.082,7.491398,7.480866,0.01053213
2354.244,7.490284,7.480709,0.009574733
2354.405,7.489337,7.480554,0.008782915
2354.668,7.488061,7.480301,0.007759454
2354.931,7.487036,7.480048,0.006987686
2355.194,7.48619,7.479795,0.006395679
2355.457,7.485474,7.479542,0.005932234
2355.72,7.48485,7.479289,0.005561518
2355.983,7.484294,7.479036,0.005258689
2356.508,7.483325,7.478531,0.004793865
2357.034,7.482477,7.478025,0.004451441
2357.56,7.481709,7.47752,0.004188811
2358.086,7.480996,7.477014,0.003981373
2358.611,7.480324,7.47651,0.003814236
2359.663,7.479062,7.4755,0.003562053
2360.714,7.477874,7.474491,0.003382881
2362.816,7.475625,7.472475,0.003149934
2365.081,7.473304,7.470305,0.002999366
2367.345,7.471037,7.468136,0.00290086
2371.874,7.466594,7.463806,0.002787523
2380.932,7.45785,7.455169,0.002680815
2390.605,7.44861,7.445982,0.00262833
2400.278,7.43948,7.436877,0.002602916
2419.624,7.421245,7.418688,0.002557949
2458.316,7.385377,7.382886,0.002491153
2535.699,7.315112,7.312726,0.002385942
2690.466,7.180132,7.177927,0.002204658
2999.999,6.931548,6.929642,0.001906012
3003.103,6.929163,6.92726,0.001903303
3012.407,6.922115,6.92022,0.001895439
3035.651,6.904605,6.902729,0.001876035
3058.895,6.887244,6.885387,0.001856993
3105.382,6.852952,6.851132,0.001819948
3198.356,6.786024,6.784274,0.00174975
3384.305,6.658322,6.656699,0.00162314
3756.203,6.422356,6.420945,0.001410603
4128.101,6.209262,6.20802,0.001241575
4499.999,6.013597,6.012494,0.001102589
4503.908,6.011642,6.01054,0.001101291
4515.626,6.005813,6.004716,0.001097452
4544.923,5.991322,5.990234,0.001087976
4574.22,5.976935,5.975857,0.00107866
4632.813,5.948427,5.947367,0.001060422
4750.0,5.892458,5.891433,0.001025504
4999.999,5.777782,5.776824,9.577988E-4
5002.443,5.776682,5.775725,9.571665E-4
5004.884,5.775591,5.774634,9.565455E-4
5012.209,5.772326,5.771371,9.546933E-4
5019.533,5.769065,5.768112,9.528478E-4
5038.76,5.760529,5.759581,9.480353E-4
5057.986,5.752041,5.751098,9.432878E-4
5096.438,5.735167,5.734233,9.339284E-4
5173.342,5.7018,5.700884,9.157178E-4
5327.15,5.636538,5.635656,8.812254E-4
5634.767,5.511497,5.510678,8.191975E-4
6250.0,5.280548,5.27983,7.179818E-4
6499.999,5.193071,5.192387,6.83971E-4
6502.931,5.192059,5.191375,6.835873E-4
6505.861,5.191053,5.19037,6.832092E-4
6514.65,5.18804,5.187358,6.820806E-4
6523.439,5.185032,5.184351,6.809559E-4
6553.957,5.174619,5.173942,6.770876E-4
6584.475,5.164248,5.163575,6.73263E-4
6645.51,5.143683,5.143017,6.657973E-4
6767.58,5.10314,5.102489,6.514697E-4
7011.72,5.02492,5.024294,6.256804E-4
7500.0,4.87214,4.871563,5.777404E-4
8125.0,4.690263,4.689734,5.294137E-4
8750.0,4.519335,4.518844,4.911399E-4
8999.999,4.453513,4.453035,4.781447E-4
9003.908,4.452491,4.452013,4.779487E-4
9015.626,4.449439,4.448962,4.773699E-4
9031.251,4.445375,4.444898,4.766024E-4
9091.798,4.429678,4.429204,4.736777E-4
9152.344,4.414059,4.413589,4.708252E-4
9273.436,4.383022,4.382557,4.653041E-4
9515.621,4.321709,4.321254,4.549687E-4
9999.99,4.201844,4.201407,4.369191E-4
10019.14,4.197173,4.196737,4.362723E-4
10085.48,4.18105,4.180616,4.340877E-4
10151.81,4.16498,4.164548,4.31956E-4
10284.48,4.133026,4.132598,4.278856E-4
10549.81,4.069778,4.069357,4.204485E-4
11080.47,3.945505,3.945097,4.081756E-4
12141.8,3.702357,3.701965,3.921221E-4
12266.11,3.674259,3.673866,3.926673E-4
12328.26,3.660222,3.659828,3.944922E-4
12359.34,3.653212,3.652813,3.989295E-4
12374.88,3.649708,3.649306,4.025804E-4
12390.41,3.646212,3.645802,4.1033E-4
12401.47,3.643727,3.643305,4.218233E-4
12407.0,3.642488,3.642057,4.313677E-4
12412.52,3.641256,3.640811,4.454458E-4
12418.05,3.640032,3.639562,4.693044E-4
12420.82,3.639424,3.638937,4.873831E-4
12423.58,3.638825,3.638313,5.121507E-4
12426.35,3.638235,3.637687,5.482598E-4
12427.73,3.637947,3.637374,5.728871E-4
12429.11,3.637666,3.637062,6.041335E-4
12430.49,3.637394,3.636749,6.449159E-4
12431.87,3.637137,3.636437,7.007403E-4
12432.56,3.637018,3.63628,7.377728E-4
12433.25,3.636908,3.636124,7.846992E-4
12433.94,3.636814,3.635967,8.471164E-4
12434.63,3.636745,3.63581,9.349634E-4
12435.08,3.636722,3.635708,0.001013842
12435.53,3.636724,3.635606,0.001118212
12435.98,3.636763,3.635504,0.001258606
12436.21,3.636801,3.635452,0.001348796
12436.43,3.636852,3.635402,0.001449603
12436.66,3.636923,3.63535,0.001572923
12436.88,3.637011,3.6353,0.001711002
12437.11,3.637129,3.635249,0.001880007
12437.33,3.637268,3.635199,0.002069127
12437.56,3.637448,3.635148,0.002300227
12437.78,3.637657,3.635099,0.002558169
12438.0,3.637907,3.63505,0.002857594
12438.22,3.638205,3.635001,0.003204418
12438.45,3.638575,3.63495,0.003624757
12438.67,3.638992,3.634902,0.004089445
12438.9,3.639502,3.634853,0.004649226
12439.12,3.640069,3.634805,0.005264034
12439.35,3.640756,3.634757,0.005999482
12439.57,3.641512,3.63471,0.006801271
12439.79,3.642374,3.634665,0.007709017
12440.01,3.643353,3.63462,0.008732671
12440.24,3.644512,3.634574,0.009937739
12440.46,3.64576,3.634531,0.01122989
12440.69,3.647224,3.634486,0.01273745
12440.91,3.648784,3.634445,0.01433913
12441.14,3.650593,3.634403,0.01619021
12441.36,3.652502,3.634364,0.01813786
12441.8,3.656867,3.634289,0.02257805
12442.18,3.661246,3.634229,0.02701758
12442.55,3.666057,3.634174,0.03188273
12442.93,3.671539,3.634121,0.0374181
12443.3,3.677365,3.634074,0.04329098
12444.05,3.690346,3.633987,0.05635852
12444.79,3.703942,3.633911,0.07003154
12445.58,3.717959,3.633831,0.08412768
12446.36,3.729655,3.633744,0.09591093
12446.77,3.734399,3.633691,0.1007075
12447.18,3.737914,3.633632,0.1042823
12447.6,3.740086,3.633563,0.1065235
12447.98,3.740722,3.633492,0.1072295
12448.0,3.740719,3.633488,0.1072311
12448.05,3.740698,3.633478,0.1072196
12448.09,3.740664,3.63347,0.1071943
12448.18,3.740537,3.633452,0.1070853
12448.35,3.740099,3.633416,0.1066835
12448.79,3.737794,3.633315,0.104479
12449.52,3.730534,3.633125,0.09740914
12450.25,3.719818,3.63291,0.08690838
12450.98,3.706908,3.632677,0.07423119
12452.36,3.681249,3.632217,0.04903275
12453.05,3.669701,3.63199,0.03771116
12453.39,3.664592,3.631881,0.03271155
12453.73,3.659919,3.631774,0.02814517
12454.08,3.655581,3.631666,0.02391454
12454.42,3.651828,3.631564,0.02026333
12454.77,3.648428,3.631462,0.01696541
12455.11,3.645554,3.631366,0.01418804
12455.46,3.643007,3.631269,0.01173785
12455.8,3.640898,3.631177,0.009720803
12456.14,3.639112,3.631087,0.008025158
